id,traditional,simplified,pinyin,meaning,LEVEL
3035,共同,共同,gòngtóng,"common, joint",3
3036,功夫,功夫,gōngfu,"workmanship, skill, art",3
3037,姑娘,姑娘,gūniang,"quiff, cummer, gill, calico, girlie, missy, moll, damsel, fille, girl, jill, miss, judy, jeune fille, sheila, jane, lass, colleen, toots, daughter, young girl, lassie",3
3038,共有,共有,gòngyǒu,"to have altogether, in all",3
3039,古,古,gǔ,"ancient, age-old;not following current customs/practice",3
3040,古代,古代,gǔdài,"ancient times, olden times",3
3041,故鄉,故乡,gùxiāng,"country, home, patria, place of birth, native place, hometown, homeland, motherland, birthplace",3
3042,關係,关系,guānxi,"relation, bearing, impact, membership credentials, backdoor connections",3
3043,關注,关注,guānzhù,"follow with interest, pay close attention to",3
3044,觀察,观察,guānchá,"observe, survey, inspect",3
3045,掛,挂,guà,"hang, put up, hitch, ring up",3
3046,觀看,观看,guānkàn,"eye, view, watch, spectate, eyeball",3
3047,觀念,观念,guānniàn,"conception, intension, theory, philosophy, idolum, connotation, idea, sense, presentation, notion, concept, construct, intellection, presentment, thought, notional, conceit",3
3048,管理,管理,guǎnlǐ,"manage, supervise, take care of",3
3049,觀眾,观众,guānzhòng,"onlooker, TV audience, attendance, audience, spectator, viewers, followers, crowd, gallery, viewer, following, house, viewing audience",3
3050,光明,光明,guāngmíng,"bright, promising, openhearted, guileless",3
3051,廣播,广播,guǎngbō,"broadcast, air",3
3052,管,管,guǎn,"run, manage, administer, have charge of, subject to discipline, bother about",3
3053,光,光,guāng,"light, ray, brightness, honor, glory, luster",3
3054,規定,规定,guīdìng,"rules, disciplines, regulations",3
3055,廣大,广大,guǎngdà,"large, wide, vast, ample, large-scale, numerous, wide-spread",3
3056,國內,国内,guónèi,"interior (of country), interior, home, intestine, internal, domestic",3
3057,規範,规范,guīfàn,"constraint, norm",3
3058,國慶,国庆,Guóqìng,National Day,3
3059,果然,果然,guǒrán,"really, as expected, sure enough",3
3060,果汁,果汁,guǒzhī,fruit juice,3
3061,過程,过程,guòchéng,"unconscious process, mechanism, process, act, round, course",3
3062,哈哈,哈哈,hāha,"sound of laughter, haha",3
3063,過去,过去,guò qu,"go over, pass by",3
3064,海關,海关,hǎiguān,"chophouse, customhouse, customshouse, custom, haikwan, customs, douane",3
3065,害怕,害怕,hàipà,"dread, be afraid/scared, fearful, frighten, fear, frightened, shrink_from, be afraid, funk, scared, be scared, tremble",3
3066,好好,好好,hǎohǎo,"well, carefully, nicely, properly",3
3067,行,行,xíng,"go, travel, prevail, circulate, be current",3
3068,好奇,好奇,hàoqí,"curious, full of curiosity",3
3069,合,合,hé,"be equal to, amount to",3
3070,合法,合法,héfǎ,"legal, well-formed, rightful, lawful, legitimate",3
3071,合格,合格,hégé,"measure_up, reach standard, measure up, qualify, nail, make it, pass, qualified",3
3072,合理,合理,hélǐ,"plausible, rational, reasonable, legitimate, equitable, sensible",3
3073,和平,和平,hépíng,"mild, peaceful",3
3074,紅茶,红茶,hóngchá,"tea, bohea, black_tea, black tea",3
3075,紅酒,红酒,hóngjiǔ,Red wine,3
3076,後果,后果,hòuguǒ,"aftereffect, aftermath, consequent, wake, backwash, sequel, consequence, subsequence",3
3077,後面,后面,hòumian,"rear, back, in the rear, latter, behind, rearward, at the back",3
3078,後年,后年,hòunián,the year after next,3
3079,互聯網,互联网,hùliánwǎng,Internet,3
3080,合作,合作,hézuò,"cooperate, collaborate, work together",3
3081,划船,划船,huá chuán,paddle/row boat,3
3082,互相,互相,hùxiāng,"mutual, each other, mutually, one another, reciprocally",3
3083,華人,华人,huárén,"Chinese, Ch. people",3
3084,化,化,huà,"melt, dissolve, thaw, digest, remove, burn up, incinerate, disguise",3
3085,話劇,话剧,huàjù,"stage play, modern drama, CL:臺|台[tai2],部[bu4]",3
3086,歡樂,欢乐,huānlè,"happy, joyous, gay",3
3087,環,环,huán,"ring, link",3
3088,話題,话题,huàtí,"talking_point, theme, gambit, subject of a talk, ground, talk, talking point, topic, chapter, topic of conversation",3
3089,環保,环保,huánbǎo,environmental protection,3
3090,環境,环境,huánjìng,"circumambiency, environmental, circumstances, environment, entourage, surround, atmosphere, setting, surroundings, ambiance, condition, context, circumstance, surrounding, frame, milieu, ambient, consideration, environs, medium, ambience",3
3091,會議,会议,huìyì,"synod, moot, conference, board, convocation, soviet, congress, talks, indaba, negotiation, junta, group discussion, convention, meeting place, session, council, rendezvous, colloquy, coming together, powwow, seance, meeting, forum, consultation, roll-up, get-together, assembly",3
3092,會員,会员,huìyuán,member,3
3093,火,火,huǒ,"fire;internal heat, anger, temper;firearms, ammunition",3
3094,活,活,huó,"alive, live, vivid, save (sb.'s life), activate, save, be",3
3095,機器,机器,jīqì,"enginery, life, machinery, machine, plant, apparatus, engine, gizmo",3
3096,基本,基本,jīběn,"fundamental, essential, main",3
3097,積極,积极,jījí,"positive, active, energetic, vigorous",3
3098,基本上,基本上,jīběnshang,"basically, on the whole",3
3099,及時,及时,jíshí,"timely, in time, promptly",3
3100,基礎,基础,jīchǔ,"base, foundation",3
3101,…極了,…极了,…jíle,…Extremely,3
3102,集中,集中,jízhōng,"concentrate, centralize, focus, put together",3
3103,集體,集体,jítǐ,collective,3
3104,計算,计算,jìsuàn,"count, calculate, compute",3
3105,記錄,记录,jìlù,"record, note",3
3106,記者,记者,jìzhě,"journalist, writer, correspondent, newspaperwoman, newspaperman, gazetteer, newswriter, reporter, pressman, newshound, newsman, newsperson",3
3107,紀念,纪念,jìniàn,"commemorate, mark",3
3108,技術,技术,jìshù,"mechanics, know-how, prowess, science, Minerva, superior skill, art, competence, technology, craft, craftsmanship, skill, education, technique, artistry, engineering, technological, equipment, technical",3
3109,繼續,继续,jìxù,"go, resume, keep_on, abide, come on, persist in, extend, run_on, run on, carry_on, stretch, sustain, pursue, keep going, continuance, get_along, get_on, remain, continue, keep_up, go ahead, keep up, come up, continuation, hold, carry, run, go_on, maintain, go on, bide, plow ahead, hold_on, piece, restart",3
3110,加工,加工,jiā gōng,process,3
3111,加強,加强,jiāqiáng,"strengthen, augment, reinforce",3
3112,家具,家具,jiāju,"household goods, movable, furnishings, furniture, home furnishings, household stuff, implement, household furnishings, fitment",3
3113,加快,加快,jiākuài,"speed up, accelerate",3
3114,家鄉,家乡,jiāxiāng,"fatherland, country, home, country of origin, native place, mother country, hometown, native land, motherland, homeland",3
3115,紀錄,纪录,jìlù,"minutes, notes, record, record",3
3116,家屬,家属,jiāshǔ,"blood relative, kinswoman, kinsman, household, kinfolk, kin, dependent, kinsfolk, family members, family dependents, cognate, folk, sib, people, dependents, blood relation, family members/dependents",3
3117,價格,价格,jiàgé,price,3
3118,價錢,价钱,jiàqian,"cost, monetary value, rate, price",3
3119,價值,价值,jiàzhí,"value, worth",3
3120,架,架,jià,m.[general],3
3121,堅持,坚持,jiānchí,"persist in, insist on",3
3122,堅強,坚强,jiānqiáng,"strong, firm, staunch",3
3123,簡單,简单,jiǎndān,"terse, casual, commonplace, simple, oversimplified, ordinary, uncomplicated",3
3124,簡直,简直,jiǎnzhí,"simply, really",3
3125,堅決,坚决,jiānjué,"firm, determined",3
3126,建,建,jiàn,"establishment, erection, build, proposal, propose, set up, establish, found, advocate, erect, construction, construct",3
3127,建成,建成,jiànchéng,"to establish, to build",3
3128,建立,建立,jiànlì,"establish, set up, found",3
3129,建設,建设,jiànshè,construction,3
3130,將近,将近,jiāngjìn,almost,3
3131,將來,将来,jiānglái,"in the future, future, the future, CL:個|个[ge4]",3
3132,交費,交费,jiāofèi,Pay a fee,3
3133,建議,建议,jiànyì,"propose, suggest, recommend",3
3134,交警,交警,jiāojǐng,"traffic police, abbr. for 交通警察",3
3135,交流,交流,jiāoliú,"exchange, interflow, interchange",3
3136,交往,交往,jiāowǎng,"associate, contact",3
3137,交易,交易,jiāoyì,"deal, trade, transaction",3
3138,教材,教材,jiàocái,"textbook, teaching material",3
3139,教練,教练,jiàoliàn,"training, drillmaster, wise man, tutor, drilling, handler, coacher, coach, instructor, private instructor, trainer, mentor",3
3140,較,较,jiào,"rather, quite, relatively, more",3
3141,接待,接待,jiēdài,"receive (guests), serve (customers)",3
3142,結實,结实,jiēshi,"to bear fruit, rugged, sturdy, strong, durable, buff (physique)",3
3143,接近,接近,jiējìn,"approach, near, be close to",3
3144,結合,结合,jiéhé,"combine, unite, integrate, link, be joined in wedlock",3
3145,結婚,结婚,jié hūn,"middle-aisle, intermarry, mate, conjoin, get married, couple, married, espouse, pair, marry, unite, get_married, get hitched with, spouse, splice, hook up with, wed",3
3146,叫,叫,jiào,to be called,3
3147,解決,解决,jiějué,"solve, resolve, settle, dispose of, finish off",3
3148,結束,结束,jiéshù,"end, close, conclude",3
3149,解開,解开,jiě kāi,"unknot, loose, uncouple, unbuckle, unyoke, reel off, disengage, unreel, unloosen, disentwine, detach, untie, unwreathe, unlock, ravel, disentangle, unbraid, unsnarl, unhook, unfasten, unwind, unroll, tease apart, loosen, unhitch, unlace, undone, tease, unwire, uncord, unwrap, unleash, unthread, undo, disassemble, ravel out, disconnect, unlink, sleave, untangle, unpack, puzzle_out, unbend, u",3
3150,節約,节约,jiéyuē,"economize, save",3
3151,金,金,jīn,"metals, gold, money, ancient metal percussion instruments",3
3152,金牌,金牌,jīnpái,gold medal,3
3153,盡量,尽量,jǐnliàng,to the best of one's ability,3
3154,僅,仅,jǐn,"scantily, simply, alone, merely, barely, only, but, just",3
3155,僅僅,仅仅,jǐnjǐn,"strictly, solely, exclusively, entirely, alone, merely, only, purely, simply, scantly, narrowly, barely, just",3
3156,緊張,紧张,jǐnzhāng,be nervous,3
3157,緊,紧,jǐn,"tighten, tight, hard up, strict, urgent, tense, taut, stringent",3
3158,進步,进步,jìnbù,"progress, advance, improve",3
3159,進一步,进一步,jìnyībù,go step further,3
3160,進展,进展,jìnzhǎn,"progress, advance",3
3161,近期,近期,jìnqī,"near in time, in the near future, very soon, recent",3
3162,經濟,经济,jīngjì,"economy, financial condition, income",3
3163,京劇,京剧,jīngjù,"Beijing opera, CL:場|场[chang3],出[chu1]",3
3164,經驗,经验,jīngyàn,experience,3
3165,緊急,紧急,jǐnjí,"urgent, critical",3
3166,經歷,经历,jīnglì,"go through, undergo, experience",3
3167,精神,精神,jīngshen,"god, guts, heart, pneuma, consciousness, vigor, life, energy, vim, courage, esprit, moral, get-up-and-go, ginger, vitality, Psyche, psyche, spunk, gumption, juice, sand, mind, mental, mens, mickey, mettle, nature, grit, oomph, genius, vigour, substance, psychic, backbone, nous, nerve, pazazz, essence, pep, spirit, inward, drive, push, soul, gist",3
3168,精彩,精彩,jīngcǎi,"brilliant, splendid",3
3169,經營,经营,jīngyíng,"manage, run, engage in",3
3170,景色,景色,jǐngsè,"view, scenic, outlook, perspective, scene, scenery, prospect, landscape",3
3171,警察,警察,jǐngchá,"police officer, cop, trooper, bluecoat, finest, jack, peon, policeman, police force, constable, policemen, flattie, fuzz, constabulary, shamus, bull, bobby, robert, copper, tipstaff, rozzer, flatfoot, john, peeler, Vopo, law, runner, officer, gumshoe, pig, police, the police, beetle-crusher, flic",3
3172,靜,静,jìng,"still, quiet, calm",3
3173,久,久,jiǔ,"for long time, of specified duration",3
3174,就是,就是,jiùshì,"conj.: even if, even",3
3175,救,救,jiù,"relief, relieve, help, salve, salvage, rescue, save, succour",3
3176,就業,就业,jiù yè,get or take up a job,3
3177,舉辦,举办,jǔbàn,"conduct, hold, run",3
3178,舊,旧,jiù,"old, aged, onetime, bygone, used, worn, past, former",3
3179,具有,具有,jùyǒu,"be provided with, have, have got, possess, hold, possession, carry, inhere, bear",3
3180,劇場,剧场,jùchǎng,theater,3
3181,具體,具体,jùtǐ,"concrete, specific, particular",3
3182,決定,决定,juédìng,"decide, resolve, make up one's mind, determine",3
3183,據說,据说,jùshuō,"they say, it is said, it is said that..., reputedly, allegedly",3
3184,決賽,决赛,juésài,"runoff, fight-off, cup_final, playoff, cup final, match_game, finals, final, run-off",3
3185,絕對,绝对,juéduì,"absolutely, definitely",3
3186,咖啡,咖啡,kāfēi,"arabica, coffee, cafe, Java, java, mocha, blackstrap",3
3187,決心,决心,juéxīn,"determination, resolution",3
3188,開放,开放,kāifàng,"lift a ban/etc., be turned on, be in operation",3
3189,開發,开发,kāifa,"develop, open up, exploit",3
3190,開始,开始,kāishǐ,"begin, start",3
3191,開展,开展,kāizhǎn,"develop, launch, unfold",3
3192,開業,开业,kāi yè,"to open a business, to open a practice, open (for business)",3
3193,看起來,看起来,kànqilai,"it looks as if, on the face of it, it appears, it seems, ostensibly, seemingly, apparently, it look as if",3
3194,看上去,看上去,kànshangqu,"it would appear, it seems (that)",3
3195,考驗,考验,kǎoyàn,"test, trial",3
3196,可靠,可靠,kěkào,"reliable, dependable",3
3197,科技,科技,kējì,"technology, tech, engineering science, applied science, science and technology, technological, engineering",3
3198,客觀,客观,kèguān,objective,3
3199,可樂,可乐,kělè,"amusing, entertaining, (loanword) cola",3
3200,克服,克服,kèfú,"surmount, conquer, put up with (hardship/etc.)",3
3201,空,空,kōng,"free, with spare time",3
3202,課程,课程,kèchéng,"course of instruction, lesson, course, course of lectures, course of study, curricular, class, curricula, syllabus, curriculum, program",3
3203,空調,空调,kōngtiáo,"air conditioner, air-conditioning, air-conditioner",3
3204,褲子,裤子,kùzi,"breeches, pant, unmentionables, britches, trouser, continuation, breeks, bags, unmentionable, inexpressible, pants, pantaloon, trousers",3
3205,空兒,空儿,kòngr5,"spare time, free time",3
3206,快速,快速,kuàisù,"expeditious, high-speed, fast, rapid, clip",3
3207,困,困,kùn,"sleepy, tired",3
3208,困難,困难,kùnnan,difficult,3
3209,恐怕,恐怕,kǒngpà,perhaps,3
3210,浪費,浪费,làngfèi,"waste, squander",3
3211,老百姓,老百姓,lǎobǎixìng,"plebe, populace, mister, civilians, roturier, ordinary people, common people",3
3212,老闆,老板,lǎobǎn,"proprietor, chief, shopkeeper, Tuan, baas, honcho, hirer, storekeeper, milord, bwana, mugwump, cit, market keeper, buckra, governor, boss, joss, tradesman, employer, guv",3
3213,老太太,老太太,lǎotàitai,"old lady, your (my/his/etc.) mother",3
3214,老頭兒,老头儿,lǎotóur5,see 老頭子|老头子[lao3 tou2 zi5],3
3215,樂,乐,lè,"happy, cheerful, be glad to, enjoy, be amused",3
3216,樂觀,乐观,lèguān,be optimistic; be hopeful,3
3217,類似,类似,lèisì,"analogize, conform, analogic, be similar to, resemble, similar, analogous",3
3218,離婚,离婚,lí hūn,divorce,3
3219,裡面,里面,lǐmian,"inside, interior",3
3220,類,类,lèi,m.[kind],3
3221,理髮,理发,lǐ fà,"a barber, hairdressing",3
3222,理論,理论,lǐlùn,theory,3
3223,理由,理由,lǐyóu,"excuse, reasoning, reason, wherefore, argument, meaning, account, cause, room, alibi, substance, warranty, matter, justification, occasion, score, warrant, ground, sake, why, grounds, consideration, self-justification, skill",3
3224,理解,理解,lǐjiě,"understand, comprehend",3
3225,力量,力量,lìliang,"fibre, strength, potency, ability, guts, kick, cogency, point, dint, energy, mightiness, physical strength, demon, force, punch, whiz, tooth, might, forcefulness, exercise, fiber, powerfulness, lift, pith, leverage, agency, push, muscle, power",3
3226,力,力,lì,"power, strength, ability, force, physical strength",3
3227,利用,利用,lìyòng,"use, utilize, take advantage of, exploit",3
3228,連,连,lián,conj.: including,3
3229,立刻,立刻,lìkè,"in a short time, at_once, promptly, offhand, at once, anon, instantly, straightway, now, slapbang, pronto, right_away, immediately, without delay, right away, forthwith, presto, at a time, before long, in a minute, swith, directly, in no time, incontinent, subito, without_delay, in real time, shortly, tout-de-suite, away, soon, presently, in a few seconds, very fast, chop-chop, at o",3
3230,連忙,连忙,liánmáng,"promptly, at once",3
3231,連續劇,连续剧,liánxùjù,"serialized drama, dramatic series, show in parts",3
3232,聯合國,联合国,Liánhéguó,"alignment, United Nations, United_Nations, alliance, confederation, coalition, confederate, alinement, UN",3
3233,連續,连续,liánxù,"continuously, successively",3
3234,聯繫,联系,liánxì,"integrate, relate, link, get in touch with",3
3235,聯合,联合,liánhé,"unite, ally",3
3236,涼水,凉水,liángshuǐ,"cool water, unboiled water",3
3237,了,了,le,entirely,3
3238,領,领,lǐng,"receive, draw, get, have jurisdiction over, be in possession of",3
3239,領導,领导,lǐngdǎo,"lead, exercise leadership",3
3240,領先,领先,lǐng xiān,"lead, lead (in competition), precede, lead_up, be in lead, show, be in the lead, get the jump",3
3241,另一方面,另一方面,lìngyīfāngmiàn,conj.: on the other hand,3
3242,留學,留学,liú xué,study abroad,3
3243,龍,龙,lóng,"dragon, dinosaur",3
3244,另外,另外,lìngwài,"conj.: in addition, besides, moreover",3
3245,錄,录,lù,"surname Lu, diary, record, to hit, to copy",3
3246,路線,路线,lùxiàn,"track, path, cart track, way of life, itinerary, route, cartroad, course, road, channel, line, way, routeway, pipeline, curriculum",3
3247,旅館,旅馆,lǚguǎn,"gasthaus, caravanserai, nonresident, roadhouse, hotel, lodge, hostler, hostel, fonda, ordinary, inn, hostelry",3
3248,錄音,录音,lùyīn,record sound,3
3249,旅行社,旅行社,lǚxíngshè,"a tourist agency, travel_agency, a travel agency, travel service/agent, travel service, travel agent, travel agency",3
3250,綠茶,绿茶,lǜchá,green tea,3
3251,落後,落后,luò hòu,fall/lay behind,3
3252,麻煩,麻烦,máfan,"trouble sb., bother",3
3253,滿足,满足,mǎnzú,"fulfill, fit, cope with, fill, be satisfied/contented, gloat, contented, arrive, be satisfied, satisfy, sate, gratify, serve, meet, appease, replete, supply, satisfied, fulfill, suffice, assuage, satiate, content, be contented, conform to, suit, match",3
3254,亂,乱,luàn,"indiscriminate, riot, mix up, arbitrary, confused, throw into diorder, confuse, jumble, confusion, random, mishandle, in a turmoil, in a confused state of mind, snarl, in disorder, disturb",3
3255,慢慢,慢慢,mànmàn,slowly; gradually,3
3256,馬,马,mǎ,horse,3
3257,毛,毛,máo,"Mao, wool, bristle, nap, pilus, down, feather, mold, mildew, Surname, hair, 1 1 0 th yuan, 1 0 th yuan, dime, silk, cent, fur, marking",3
3258,沒用,没用,méiyòng,useless,3
3259,毛病,毛病,máobing,"trouble, mishap, breakdown, defect, shortcoming, fault, mistake, illness",3
3260,每,每,měi,det.: every,3
3261,媒體,媒体,méitǐ,"mass media, media, medium",3
3262,美,美,měi,"beautiful, pretty",3
3263,美麗,美丽,měilì,beautiful,3
3264,美好,美好,měihǎo,"fine, happy, glorious",3
3265,美術,美术,měishù,"constructivism, beaux arts, beaux-arts, artistic production, artistic creation, painting, fineart, fine_art, cubism, art, fine arts",3
3266,美元,美元,měiyuán,m.[standard],3
3267,米,米,mǐ,"rice, shelled/husked seed",3
3268,美食,美食,měishí,"cate, luxury, good food, delicious food, fleshpot",3
3269,面對,面对,miànduì,"face up, stand up, face, look_out_on, confront, front, affront, envisage, accost, breast",3
3270,迷,迷,mí,"to bewilder, crazy about, fan, enthusiast, lost, confused",3
3271,民間,民间,mínjiān,"grass roots, people-to-people, nongovernmental, among the people, folk, popular",3
3272,民族,民族,mínzú,"tribe, citizenry, ethnos, ethnic minority/group, race, nationality, group, Volk, nation, folk, people, ethnic group, ethnographer, family, ethnic minority",3
3273,面積,面积,miànjī,"area unit, area, superficies, superficial, acreage, expanse, surface_area, square_measure, surface area, content, space, square measure",3
3274,明確,明确,míngquè,"define, make clear/definite, make definite, definite, make clear",3
3275,命運,命运,mìngyùn,"foredoom, lot, appointment, lottery, fortune, chance, dole, circumstances, allotment, predestination, cup, luck, fare, destiny, portion, kismet, fate, doom, line, fatality, weird, hazard, karma",3
3276,明顯,明显,míngxiǎn,"clear, obvious",3
3277,某,某,mǒu,"det.: some, certain",3
3278,母親,母亲,mǔqin,"venter, materfamilias, mother, mither, sultana, maternal, female parent, mater",3
3279,目標,目标,mùbiāo,"polestar, objective, goal, bourn, object, meaning, aim, end point, target, cause, landmark, butt, lodestar, bull's eye, mark, tee, cynosure, end, bell ringer, loadstar, quaesitum, destination",3
3280,目前,目前,mùqián,"at the present time, currently",3
3281,木頭,木头,mùtou,"slow-witted, blockhead, log (of wood, timber etc), CL:塊|块[kuai4],根[gen1]",3
3282,男子,男子,nánzǐ,"man, male",3
3283,南部,南部,nánbù,"meridional, the southern part of the country, southern part, South, south, the south",3
3284,奶茶,奶茶,nǎichá,milk tea,3
3285,難道,难道,nándào,Do you really mean to say that...,3
3286,難度,难度,nándù,"trouble, problem",3
3287,內心,内心,nèixīn,"interior, inner being, conscience, inside, breast, bosom, innermost being, incenter, heart",3
3288,內,内,nèi,inside,3
3289,內容,内容,nèiróng,"subject_matter, content, cognitive content, internal, contents, mental object, meat, substance, matter, lining",3
3290,能不能,能不能,néng bùnéng,Can you,3
3291,年代,年代,niándài,"a decade of a century (e.g. the Sixties), age, era, period, CL:個|个[ge4]",3
3292,能力,能力,nénglì,"department, potency, ability, acquisition, acquirement, capacity, performance, oomph, sufficiency, energy, competence, accomplishment, size, might, faculty, hand, coequal, efficiency, inner resources, capability, giftie, attainment, capableness, zip, skill, competency, power",3
3293,年初,年初,niánchū,beginning of year,3
3294,年紀,年纪,niánjì,"years, old age, age",3
3295,念,念,niàn,"study, read, attend school, think_of, read aloud, think of, miss",3
3296,年底,年底,niándǐ,"the end of the year, year-end",3
3297,農民,农民,nóngmín,"mujik, farmhand, granger, boor, farm worker, peasantry, countrymen, farmer, agriculture, husbandman, muzhik, peasant, fieldhand, moujik, fellah, muzjik",3
3298,牛,牛,niú,"ox, cattle, cow",3
3299,農村,农村,nóngcūn,"country, village, countryside, rural area",3
3300,農業,农业,nóngyè,"farm, farming, geoponics, husbandry, agricultural, plow, agriculture",3
3301,女子,女子,nǚzǐ,"lady, female, femme, young lady, adult female, missy, young woman, fem, moll, womankind, fille, damsel, girl, miss, woman, wren, blade",3
3302,暖和,暖和,nuǎnhuo,"warm, nice and warm",3
3303,怕,怕,pà,"I'm afraid, dread, funk, I suppose, be afraid of, fear",3
3304,拍,拍,pāi,"clap, pat, lick sb.'s boots",3
3305,排,排,pái,"stand in line, arrange, put in order, sequence",3
3306,排名,排名,pái míng,put names in order,3
3307,牌子,牌子,páizi,"sign, trademark, brand",3
3308,派,派,pài,"send, dispatch, assign, appoint",3
3309,判斷,判断,pànduàn,"judge, determine",3
3310,配合,配合,pèihe,"coordinate, cooperate",3
3311,跑步,跑步,pǎo bù,"to run, to jog, (military) to march at the double",3
3312,胖,胖,pàng,"fat, stout, plump",3
3313,配,配,pèi,"match, find sth. to fit/replace sth. else, deserve, be worthy of, be qualified, compound, mix",3
3314,批評,批评,pīpíng,criticize,3
3315,批准,批准,pī zhǔn,"to approve, to ratify",3
3316,皮,皮,pí,"skin, leather, hide, wrapper, surface, thin/flat pieces/sheets, rubber",3
3317,啤酒,啤酒,píjiǔ,"malt liquor, malt, suds, nappy, wallop, beery, malt_liquor, stout, barley-bree, brewage, beer",3
3318,票價,票价,piàojià,"ticket price, fare, admission fee",3
3319,皮包,皮包,píbāo,"handbag, briefcase",3
3320,評價,评价,píngjià,"estimate, diagnoses, appraisal, mark, rating, rate, value, assessment, esteem, image, estimation, valuation, appraisement, opinion, rank, remark, evaluation",3
3321,蘋果,苹果,píngguǒ,"mincemeat, pome, apple, Empire",3
3322,破壞,破坏,pòhuài,"violate, destroy",3
3323,普遍,普遍,pǔbiàn,"universal, general, widespread, common",3
3324,普及,普及,pǔjí,"popularize, disseminate, spread",3
3325,期,期,qī,m.[event],3
3326,破,破,pò,"tear, split up, defeat, expose, eradicate, lay bare, cleave, expose the truth of, worn-out, break with, come apart, destroy, capture (city/etc.), defeat (enemy), broken, expose (lie/etc.), destruction, cut, separate, tattered, reveal truth, fall apart, beat, capture, split, not intact, rupture, get rid of, do away with, break",3
3327,齊,齐,qí,"complete, prepared, together",3
3328,其實,其实,qíshí,"as a matter of fact, actually, in fact",3
3329,其次,其次,qícì,"conj.: next, second",3
3330,氣候,气候,qìhòu,"situation, clime, climatic, climate, weather, climactic",3
3331,千萬,千万,qiānwàn,by all means; absolutely,3
3332,前後,前后,qiánhòu,"front and rear, around or about, altogether",3
3333,奇怪,奇怪,qíguài,wonder,3
3334,前進,前进,qiánjìn,go forward,3
3335,前往,前往,qiánwǎng,"depart, cruise, go_to, go, leave, go to, proceed to, pay, seek, leave for",3
3336,前面,前面,qiánmian,"front end, face, forepart, front, in front, ahead, preceding, above, fore, forgoing, frontage, obverse",3
3337,強,强,qiáng,"strong, powerful, vigorous, better, slightly more than, plus",3
3338,強大,强大,qiángdà,"big and powerful, formidable",3
3339,強調,强调,qiángdiào,"underscore, spotlight, place emphasis on, point_up, highlight, point, point up, enforce, emphasise, urge, underline, overstress, give emphasis to, play up, keynote, insist, punctuate, accent, betone, foreground, emphasize, emphatic, stress, set off, overemphasize, accentuate, bring out",3
3340,強烈,强烈,qiángliè,"strong, intense, violent",3
3341,巧,巧,qiǎo,"clever, intelligent, skillful, ingenious, artful, deceiving, pretty, cute, opportune, fortuitous, coincidental",3
3342,橋,桥,qiáo,"backbend, fret, span, pons, pier arch, bridge, spar",3
3343,親切,亲切,qīnqiè,"cordial, genial, warm",3
3344,親人,亲人,qīnrén,"those dear to one, one's parents, spouse, children, etc., one's family members, dear ones, relative, close relatives, folks",3
3345,親,亲,qīn,"parent, one's own (flesh and blood), relative, related, marriage, bride, close, intimate, in person, first-hand, in favor of, pro-, to kiss, (Internet slang) dear, parents-in-law of one's offspring",3
3346,情感,情感,qínggǎn,"affect, friendship, sensibility, bond, emotion, bosom, breast, sentiment, emotional, chasm, feeling, feelings",3
3347,請教,请教,qǐngjiào,"consultation, Please enlighten me., seek advice, take counsel, consult, ask, ask for advice",3
3348,情況,情况,qíngkuàng,"event, things, state of affairs, circumstantiality, case, circumstances, way, plight, experimental condition, streak, military situation, matter, condition, mood, circumstance, context, occasion, thing, instance, affair, shape, situation, juncture, consideration",3
3349,親自,亲自,qīnzì,"personally, in person, firsthand",3
3350,球迷,球迷,qiúmí,"fan (ball sports), CL:個|个[ge4]",3
3351,取消,取消,qǔxiāo,"cancel, abolish, nullify",3
3352,慶祝,庆祝,qìngzhù,"fete, celebration, keep, festive, commemorate, celebrate, observe, rejoice, felicitate",3
3353,區,区,qū,"surname Ou, area, region, district, small, distinguish, CL:個|个[ge4]",3
3354,去世,去世,qùshì,"die, pass away",3
3355,全場,全场,quánchǎng,"everyone present, the whole audience, across-the-board, unanimously, whole duration (of a competition or match)",3
3356,全面,全面,quánmiàn,"overall, comprehensive, all-round, all-out",3
3357,全球,全球,quánqiú,"global, whole world",3
3358,區別,区别,qūbié,"difference, to distinguish, to discriminate, to make a distinction, CL:個|个[ge4]",3
3359,缺少,缺少,quēshǎo,"lack, be short of",3
3360,缺點,缺点,quēdiǎn,"privilege, bug, failing, flaw, demerit, blemish, debit, limitation, mar, defect, glitch, foible, infirmity, blot, vice, drawback, disadvantage, imperfection, blemishment, weakness, tache, defection, shortcoming, malady, frailty, fault",3
3361,缺,缺,quē,"be short of, lack",3
3362,確保,确保,quèbǎo,"secure, insure, ensure, assure, reassure, guarantee",3
3363,確定,确定,quèdìng,"find, determination, make a point, pin down, narrow down, corroborate, prove, jell, settle, express, ensure, clench, assure, confirm, decide firmly, see, certain, define, clinch, nail_down, ascertain, determinate, guarantee, nail down, insure, fix, nail, peg, sustain, state, stipulate, secure, make_sure, seal, make sure, verify, find out, affirm, determine",3
3364,群,群,qún,m.[general],3
3365,確實,确实,quèshí,"really, certainly, truly, indeed",3
3366,裙子,裙子,qúnzi,"skirt, CL:條|条[tiao2]",3
3367,熱烈,热烈,rèliè,ardent,3
3368,熱愛,热爱,rèài,love ardently,3
3369,人才,人才,réncái,"talent, capable person, a talented person, qualified personnel, a person of ability",3
